ImageId,Label
1,2
2,0
3,8
4,6
5,2
6,7
7,0
8,3
9,0
10,3
11,8
12,2
13,4
14,0
15,4
16,0
17,3
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,7
26,9
27,2
28,7
29,7
30,7
31,7
32,0
33,4
34,2
35,6
36,2
37,0
38,5
39,6
40,6
41,7
42,7
43,4
44,9
45,6
46,7
47,9
48,2
49,6
50,7
51,6
52,0
53,8
54,3
55,8
56,2
57,1
58,2
59,6
60,0
61,4
62,1
63,7
64,6
65,0
66,0
67,1
68,8
69,0
70,1
71,6
72,5
73,0
74,8
75,2
76,0
77,2
78,9
79,2
80,2
81,5
82,6
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,5
96,9
97,3
98,8
99,7
100,6
101,0
102,3
103,2
104,0
105,7
106,3
107,0
108,0
109,0
110,7
111,0
112,0
113,6
114,2
115,1
116,2
117,1
118,1
119,6
120,3
121,3
122,7
123,2
124,8
125,6
126,3
127,3
128,7
129,8
130,4
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,6
142,3
143,4
144,5
145,5
146,8
147,7
148,7
149,2
150,8
151,5
152,3
153,5
154,6
155,0
156,3
157,7
158,6
159,7
160,8
161,3
162,0
163,4
164,0
165,1
166,2
167,7
168,6
169,3
170,0
171,2
172,7
173,7
174,6
175,1
176,3
177,7
178,6
179,1
180,2
181,4
182,3
183,2
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,5
193,4
194,2
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,6
215,7
216,0
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,0
225,2
226,6
227,9
228,6
229,6
230,0
231,0
232,6
233,9
234,1
235,8
236,2
237,2
238,3
239,3
240,6
241,0
242,6
243,2
244,0
245,5
246,5
247,6
248,0
249,2
250,6
251,9
252,7
253,1
254,3
255,8
256,4
257,5
258,1
259,9
260,3
261,0
262,2
263,3
264,5
265,7
266,0
267,6
268,8
269,6
270,1
271,6
272,0
273,6
274,3
275,8
276,6
277,1
278,9
279,5
280,6
281,0
282,0
283,2
284,0
285,6
286,3
287,7
288,6
289,9
290,9
291,5
292,9
293,7
294,4
295,6
296,6
297,3
298,0
299,2
300,2
301,6
302,9
303,8
304,2
305,6
306,2
307,7
308,1
309,4
310,0
311,8
312,5
313,9
314,0
315,0
316,3
317,5
318,6
319,1
320,8
321,6
322,1
323,1
324,9
325,8
326,4
327,6
328,1
329,6
330,8
331,6
332,3
333,1
334,2
335,0
336,8
337,0
338,6
339,6
340,6
341,6
342,0
343,1
344,5
345,6
346,0
347,6
348,5
349,2
350,2
351,6
352,7
353,7
354,2
355,7
356,8
357,7
358,9
359,0
360,1
361,6
362,6
363,2
364,6
365,8
366,0
367,3
368,6
369,1
370,6
371,6
372,6
373,9
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,6
382,5
383,0
384,6
385,2
386,6
387,2
388,1
389,5
390,0
391,1
392,7
393,0
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,2
408,3
409,6
410,0
411,5
412,0
413,4
414,1
415,2
416,3
417,1
418,1
419,3
420,5
421,9
422,6
423,6
424,0
425,3
426,1
427,9
428,7
429,4
430,7
431,4
432,8
433,0
434,2
435,0
436,1
437,3
438,7
439,5
440,0
441,8
442,4
443,7
444,4
445,6
446,4
447,1
448,5
449,3
450,9
451,8
452,7
453,6
454,9
455,6
456,2
457,2
458,5
459,1
460,6
461,6
462,7
463,5
464,0
465,5
466,1
467,7
468,9
469,6
470,1
471,1
472,4
473,9
474,5
475,6
476,0
477,1
478,3
479,1
480,0
481,4
482,8
483,1
484,2
485,7
486,9
487,4
488,8
489,3
490,7
491,0
492,4
493,2
494,4
495,2
496,7
497,6
498,3
499,2
500,0
501,6
502,5
503,0
504,0
505,1
506,3
507,3
508,3
509,0
510,6
511,7
512,6
513,8
514,7
515,3
516,3
517,5
518,7
519,4
520,2
521,0
522,9
523,0
524,7
525,8
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,8
535,3
536,5
537,6
538,6
539,6
540,2
541,0
542,2
543,8
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,3
555,6
556,0
557,7
558,5
559,6
560,2
561,0
562,3
563,5
564,1
565,6
566,0
567,4
568,1
569,1
570,0
571,0
572,5
573,3
574,6
575,0
576,4
577,8
578,2
579,4
580,2
581,5
582,1
583,2
584,6
585,9
586,1
587,7
588,3
589,8
590,0
591,8
592,8
593,5
594,5
595,2
596,6
597,0
598,6
599,0
600,0
601,1
602,1
603,7
604,1
605,6
606,2
607,8
608,5
609,6
610,1
611,7
612,4
613,3
614,3
615,2
616,4
617,7
618,0
619,0
620,9
621,3
622,6
623,9
624,4
625,0
626,3
627,9
628,0
629,6
630,7
631,6
632,1
633,8
634,6
635,1
636,9
637,7
638,7
639,8
640,3
641,0
642,9
643,9
644,6
645,0
646,7
647,6
648,9
649,1
650,8
651,9
652,9
653,6
654,0
655,8
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,5
667,1
668,3
669,3
670,6
671,3
672,9
673,4
674,3
675,6
676,7
677,7
678,6
679,6
680,0
681,6
682,9
683,6
684,1
685,6
686,3
687,6
688,6
689,9
690,9
691,2
692,6
693,0
694,1
695,8
696,4
697,3
698,9
699,8
700,8
701,4
702,0
703,0
704,0
705,6
706,0
707,0
708,4
709,6
710,5
711,6
712,0
713,1
714,5
715,5
716,6
717,2
718,3
719,7
720,7
721,9
722,2
723,1
724,0
725,1
726,6
727,6
728,9
729,2
730,5
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,6
739,1
740,5
741,6
742,6
743,6
744,9
745,3
746,9
747,6
748,7
749,6
750,6
751,6
752,9
753,4
754,4
755,1
756,4
757,7
758,1
759,1
760,2
761,2
762,0
763,4
764,0
765,4
766,0
767,0
768,5
769,1
770,8
771,0
772,5
773,0
774,1
775,0
776,0
777,4
778,6
779,3
780,1
781,1
782,6
783,6
784,5
785,3
786,5
787,5
788,9
789,6
790,2
791,6
792,0
793,4
794,0
795,4
796,2
797,1
798,6
799,9
800,7
801,1
802,1
803,3
804,3
805,1
806,6
807,9
808,6
809,6
810,1
811,5
812,9
813,7
814,3
815,2
816,4
817,0
818,7
819,7
820,4
821,3
822,0
823,5
824,0
825,1
826,9
827,6
828,4
829,5
830,2
831,8
832,0
833,5
834,9
835,3
836,9
837,6
838,1
839,3
840,6
841,5
842,9
843,0
844,8
845,4
846,6
847,7
848,2
849,5
850,5
851,6
852,9
853,7
854,7
855,2
856,6
857,1
858,3
859,0
860,6
861,0
862,4
863,1
864,4
865,2
866,3
867,6
868,8
869,2
870,5
871,4
872,5
873,4
874,2
875,3
876,0
877,1
878,1
879,0
880,1
881,4
882,6
883,6
884,1
885,2
886,7
887,1
888,5
889,4
890,9
891,1
892,7
893,6
894,0
895,4
896,2
897,9
898,6
899,5
900,1
901,0
902,2
903,0
904,7
905,4
906,2
907,7
908,3
909,2
910,7
911,2
912,0
913,4
914,7
915,1
916,6
917,4
918,6
919,1
920,0
921,7
922,3
923,5
924,9
925,4
926,7
927,9
928,6
929,6
930,3
931,2
932,2
933,1
934,6
935,5
936,0
937,7
938,7
939,9
940,5
941,6
942,0
943,6
944,1
945,0
946,9
947,2
948,2
949,9
950,2
951,6
952,7
953,5
954,2
955,3
956,2
957,3
958,3
959,6
960,2
961,7
962,9
963,4
964,0
965,0
966,3
967,1
968,8
969,8
970,2
971,3
972,2
973,0
974,6
975,7
976,0
977,0
978,0
979,7
980,4
981,0
982,8
983,7
984,9
985,7
986,7
987,0
988,0
989,1
990,2
991,1
992,9
993,0
994,6
995,3
996,0
997,6
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,7
1005,1
1006,3
1007,4
1008,0
1009,3
1010,9
1011,2
1012,6
1013,3
1014,7
1015,2
1016,7
1017,2
1018,3
1019,4
1020,8
1021,5
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,6
1034,9
1035,6
1036,5
1037,2
1038,5
1039,2
1040,0
1041,1
1042,6
1043,1
1044,9
1045,2
1046,2
1047,6
1048,7
1049,6
1050,6
1051,2
1052,6
1053,3
1054,5
1055,8
1056,1
1057,1
1058,3
1059,6
1060,6
1061,0
1062,0
1063,6
1064,0
1065,9
1066,6
1067,8
1068,0
1069,5
1070,9
1071,0
1072,6
1073,8
1074,6
1075,8
1076,2
1077,6
1078,1
1079,2
1080,9
1081,0
1082,0
1083,2
1084,3
1085,7
1086,7
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,7
1096,6
1097,5
1098,3
1099,6
1100,3
1101,4
1102,2
1103,9
1104,1
1105,6
1106,2
1107,0
1108,6
1109,6
1110,6
1111,7
1112,2
1113,4
1114,1
1115,0
1116,6
1117,2
1118,6
1119,6
1120,9
1121,6
1122,5
1123,4
1124,1
1125,6
1126,3
1127,6
1128,6
1129,1
1130,2
1131,0
1132,5
1133,8
1134,0
1135,3
1136,6
1137,8
1138,7
1139,7
1140,7
1141,0
1142,0
1143,2
1144,1
1145,2
1146,6
1147,9
1148,6
1149,5
1150,3
1151,6
1152,7
1153,5
1154,4
1155,7
1156,9
1157,5
1158,1
1159,5
1160,6
1161,9
1162,1
1163,7
1164,0
1165,6
1166,4
1167,6
1168,2
1169,4
1170,5
1171,3
1172,2
1173,9
1174,1
1175,5
1176,6
1177,3
1178,7
1179,2
1180,5
1181,3
1182,2
1183,9
1184,6
1185,0
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,0
1193,3
1194,8
1195,8
1196,8
1197,3
1198,0
1199,7
1200,4
1201,0
1202,9
1203,3
1204,6
1205,1
1206,7
1207,9
1208,6
1209,4
1210,6
1211,6
1212,5
1213,8
1214,9
1215,5
1216,7
1217,6
1218,9
