ImageId,Label
1,2
2,0
3,8
4,8
5,2
6,7
7,0
8,3
9,0
10,3
11,8
12,8
13,3
14,0
15,4
16,2
17,3
18,1
19,9
20,0
21,9
22,1
23,8
24,5
25,7
26,9
27,2
28,7
29,8
30,7
31,8
32,5
33,4
34,2
35,6
36,2
37,8
38,5
39,3
40,6
41,7
42,7
43,4
44,9
45,8
46,7
47,8
48,8
49,6
50,8
51,6
52,8
53,8
54,3
55,8
56,2
57,1
58,8
59,6
60,0
61,8
62,1
63,7
64,0
65,0
66,0
67,1
68,8
69,0
70,1
71,6
72,5
73,8
74,8
75,8
76,8
77,2
78,9
79,2
80,2
81,8
82,6
83,1
84,8
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,8
96,9
97,8
98,8
99,7
100,4
101,0
102,8
103,8
104,0
105,7
106,8
107,0
108,3
109,0
110,7
111,0
112,0
113,6
114,8
115,1
116,8
117,8
118,1
119,3
120,8
121,3
122,7
123,2
124,8
125,8
126,3
127,3
128,8
129,8
130,4
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,4
142,3
143,4
144,5
145,5
146,8
147,7
148,7
149,2
150,8
151,4
152,3
153,5
154,8
155,5
156,8
157,7
158,8
159,7
160,8
161,3
162,8
163,4
164,0
165,1
166,8
167,7
168,6
169,3
170,0
171,2
172,7
173,7
174,6
175,1
176,3
177,7
178,6
179,1
180,2
181,4
182,8
183,3
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,8
193,4
194,3
195,6
196,0
197,9
198,7
199,8
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,6
215,8
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,0
225,2
226,8
227,4
228,6
229,8
230,0
231,0
232,6
233,9
234,8
235,8
236,2
237,2
238,8
239,8
240,6
241,8
242,8
243,2
244,8
245,5
246,5
247,9
248,5
249,3
250,8
251,9
252,7
253,1
254,3
255,8
256,4
257,5
258,1
259,8
260,3
261,2
262,3
263,8
264,5
265,7
266,0
267,6
268,8
269,6
270,1
271,6
272,0
273,6
274,3
275,8
276,6
277,1
278,5
279,8
280,4
281,0
282,7
283,2
284,0
285,3
286,3
287,7
288,8
289,9
290,8
291,5
292,9
293,7
294,8
295,8
296,6
297,3
298,8
299,2
300,3
301,6
302,8
303,8
304,2
305,6
306,2
307,7
308,8
309,8
310,3
311,8
312,5
313,9
314,8
315,0
316,3
317,8
318,8
319,1
320,8
321,8
322,8
323,1
324,9
325,8
326,4
327,8
328,1
329,3
330,8
331,6
332,3
333,1
334,8
335,8
336,8
337,0
338,8
339,6
340,8
341,6
342,2
343,1
344,8
345,6
346,0
347,6
348,5
349,2
350,8
351,6
352,7
353,7
354,8
355,7
356,8
357,7
358,8
359,0
360,8
361,3
362,6
363,3
364,8
365,8
366,2
367,3
368,8
369,1
370,6
371,8
372,8
373,0
374,9
375,7
376,6
377,9
378,5
379,3
380,8
381,6
382,5
383,5
384,9
385,2
386,6
387,8
388,1
389,3
390,0
391,1
392,7
393,8
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,2
408,3
409,8
410,8
411,8
412,8
413,4
414,8
415,2
416,3
417,1
418,1
419,3
420,5
421,7
422,6
423,6
424,5
425,3
426,1
427,9
428,7
429,7
430,7
431,4
432,8
433,3
434,2
435,0
436,1
437,8
438,7
439,5
440,0
441,8
442,4
443,7
444,4
445,6
446,4
447,1
448,5
449,3
450,9
451,8
452,7
453,6
454,9
455,3
456,7
457,2
458,3
459,8
460,6
461,8
462,7
463,8
464,0
465,5
466,1
467,7
468,9
469,4
470,1
471,1
472,4
473,8
474,5
475,8
476,0
477,1
478,3
479,1
480,8
481,4
482,8
483,1
484,2
485,9
486,8
487,9
488,8
489,8
490,7
491,0
492,4
493,2
494,4
495,2
496,7
497,8
498,3
499,2
500,0
501,6
502,3
503,4
504,4
505,8
506,8
507,8
508,3
509,0
510,6
511,7
512,8
513,8
514,7
515,8
516,8
517,5
518,7
519,4
520,2
521,4
522,8
523,0
524,7
525,8
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,8
535,3
536,5
537,6
538,3
539,4
540,8
541,2
542,2
543,8
544,2
545,0
546,3
547,0
548,8
549,2
550,1
551,8
552,3
553,0
554,3
555,6
556,0
557,7
558,5
559,6
560,2
561,8
562,3
563,8
564,1
565,6
566,5
567,8
568,1
569,1
570,6
571,4
572,5
573,3
574,6
575,0
576,4
577,8
578,8
579,4
580,2
581,5
582,1
583,2
584,6
585,8
586,1
587,7
588,3
589,8
590,8
591,8
592,8
593,8
594,5
595,2
596,6
597,6
598,6
599,0
600,8
601,8
602,1
603,7
604,1
605,8
606,2
607,8
608,5
609,6
610,8
611,7
612,4
613,3
614,3
615,8
616,4
617,7
618,8
619,0
620,7
621,8
622,8
623,9
624,4
625,0
626,8
627,8
628,3
629,6
630,7
631,6
632,1
633,8
634,6
635,1
636,8
637,7
638,7
639,8
640,3
641,6
642,4
643,9
644,6
645,8
646,7
647,8
648,4
649,1
650,8
651,4
652,8
653,8
654,0
655,8
656,2
657,4
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,4
666,8
667,1
668,3
669,3
670,6
671,3
672,9
673,4
674,3
675,8
676,7
677,7
678,6
679,6
680,0
681,6
682,9
683,8
684,1
685,3
686,3
687,4
688,6
689,9
690,9
691,8
692,6
693,0
694,1
695,8
696,4
697,3
698,9
699,8
700,8
701,4
702,0
703,3
704,0
705,6
706,0
707,7
708,4
709,6
710,5
711,8
712,8
713,1
714,8
715,8
716,6
717,2
718,3
719,7
720,8
721,9
722,2
723,8
724,0
725,1
726,0
727,6
728,8
729,7
730,5
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,6
739,1
740,8
741,6
742,8
743,8
744,9
745,3
746,8
747,8
748,7
749,8
750,6
751,2
752,9
753,4
754,4
755,8
756,4
757,7
758,1
759,8
760,8
761,8
762,0
763,4
764,0
765,4
766,0
767,0
768,8
769,1
770,8
771,2
772,8
773,0
774,1
775,5
776,3
777,4
778,6
779,3
780,1
781,1
782,6
783,8
784,8
785,3
786,5
787,5
788,8
789,3
790,8
791,8
792,5
793,4
794,0
795,8
796,8
797,1
798,8
799,9
800,7
801,1
802,1
803,3
804,3
805,8
806,9
807,9
808,6
809,8
810,1
811,8
812,8
813,7
814,8
815,6
816,4
817,8
818,7
819,7
820,4
821,3
822,0
823,5
824,0
825,1
826,9
827,8
828,4
829,8
830,2
831,8
832,8
833,8
834,9
835,3
836,9
837,6
838,1
839,8
840,8
841,8
842,9
843,0
844,8
845,4
846,8
847,7
848,2
849,8
850,5
851,8
852,9
853,8
854,7
855,2
856,8
857,1
858,3
859,8
860,8
861,0
862,8
863,1
864,8
865,8
866,3
867,6
868,8
869,2
870,3
871,4
872,5
873,4
874,2
875,3
876,3
877,1
878,1
879,0
880,1
881,4
882,8
883,1
884,1
885,2
886,7
887,1
888,5
889,4
890,9
891,1
892,7
893,6
894,0
895,4
896,2
897,9
898,8
899,8
900,1
901,5
902,3
903,5
904,7
905,8
906,8
907,8
908,3
909,2
910,7
911,2
912,8
913,4
914,7
915,1
916,6
917,4
918,8
919,1
920,3
921,7
922,3
923,8
924,9
925,4
926,7
927,8
928,6
929,6
930,3
931,3
932,2
933,1
934,4
935,5
936,0
937,7
938,7
939,9
940,5
941,6
942,2
943,6
944,1
945,0
946,9
947,8
948,2
949,9
950,2
951,6
952,7
953,5
954,8
955,3
956,2
957,8
958,3
959,8
960,2
961,7
962,8
963,4
964,0
965,0
966,3
967,1
968,8
969,8
970,3
971,3
972,2
973,2
974,6
975,7
976,0
977,8
978,0
979,7
980,4
981,3
982,8
983,7
984,8
985,7
986,7
987,0
988,3
989,3
990,2
991,1
992,8
993,0
994,6
995,8
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,7
1005,1
1006,8
1007,4
1008,2
1009,3
1010,9
1011,2
1012,6
1013,3
1014,7
1015,3
1016,7
1017,2
1018,3
1019,4
1020,8
1021,4
1022,8
1023,8
1024,6
1025,2
1026,8
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,8
1034,3
1035,6
1036,8
1037,8
1038,5
1039,8
1040,0
1041,1
1042,6
1043,1
1044,9
1045,6
1046,2
1047,2
1048,7
1049,6
1050,6
1051,2
1052,6
1053,3
1054,3
1055,8
1056,1
1057,1
1058,3
1059,6
1060,3
1061,0
1062,0
1063,6
1064,0
1065,9
1066,8
1067,8
1068,0
1069,5
1070,9
1071,8
1072,8
1073,7
1074,6
1075,7
1076,2
1077,6
1078,1
1079,2
1080,8
1081,3
1082,0
1083,2
1084,8
1085,7
1086,7
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,8
1094,1
1095,7
1096,6
1097,3
1098,3
1099,3
1100,3
1101,4
1102,2
1103,9
1104,1
1105,8
1106,2
1107,0
1108,6
1109,8
1110,6
1111,7
1112,2
1113,2
1114,1
1115,0
1116,3
1117,2
1118,6
1119,6
1120,9
1121,8
1122,5
1123,4
1124,1
1125,6
1126,3
1127,8
1128,6
1129,1
1130,2
1131,0
1132,5
1133,8
1134,0
1135,3
1136,6
1137,8
1138,7
1139,7
1140,7
1141,0
1142,0
1143,8
1144,1
1145,2
1146,8
1147,4
1148,8
1149,5
1150,3
1151,8
1152,7
1153,8
1154,8
1155,7
1156,3
1157,8
1158,1
1159,8
1160,8
1161,8
1162,1
1163,7
1164,0
1165,6
1166,4
1167,8
1168,2
1169,4
1170,5
1171,8
1172,2
1173,9
1174,1
1175,8
1176,6
1177,2
1178,7
1179,2
1180,5
1181,3
1182,3
1183,8
1184,6
1185,0
1186,7
1187,0
1188,3
1189,0
1190,8
1191,7
1192,3
1193,3
1194,8
1195,8
1196,8
1197,3
1198,8
1199,3
1200,4
1201,4
1202,8
1203,3
1204,8
1205,1
1206,7
1207,8
1208,6
1209,4
1210,8
1211,6
1212,8
1213,8
1214,9
1215,5
1216,7
1217,6
1218,7
